,product_id,recommended_product_id,similarity_score
0,48102821,56365197,0.46072473304957806
1,48102821,22413470,0.433537681425906
2,48102821,48273751,0.4149413835537337
3,48102821,70772235,0.40906108816405334
4,48102821,50319688,0.4010595902845202
5,48102821,52333193,0.40075345942249213
6,48102821,72928043,0.39197111830614545
7,48102821,52889826,0.3843128095067755
8,48102821,26348659,0.37963189598354974
9,48102821,35373097,0.3724360060369909
10,48102821,54406343,0.3550624332702646
11,48102821,27977454,0.35264075372012443
12,48102821,67634480,0.3524450620324908
13,48102821,26093257,0.3470220083300351
14,48102821,56885678,0.34701724316310884
15,48102821,35607267,0.34148040542397573
16,48102821,35723184,0.3386125466012812
17,48102821,62715859,0.33044739216138397
18,48102821,73314682,0.32590596114149206
19,48102821,74285829,0.32534142929358345
20,52333193,52889826,0.926884543360688
21,52333193,35373097,0.8780732288086202
22,52333193,26348659,0.8652193001996021
23,52333193,72928043,0.8556366522956007
24,52333193,48273751,0.7018195236420965
25,52333193,22413470,0.6661236985220453
26,52333193,41574489,0.6421462163115421
27,52333193,56365197,0.6274916942345825
28,52333193,46695756,0.5933460329281932
29,52333193,50319688,0.5920027575498152
30,52333193,70817873,0.5886374317360054
31,52333193,73314682,0.586068904094615
32,52333193,74285829,0.5851382319025745
33,52333193,27977454,0.572165126845503
34,52333193,56885678,0.5673476708027545
35,52333193,46621334,0.5466569608512348
36,52333193,79965318,0.5445556149597501
37,52333193,75551911,0.5358710025804891
38,52333193,36780619,0.5332342643497174
39,52333193,46563491,0.5133007252334205
40,299461,299431,0.7382484486019627
41,299461,56930154,0.5920786097725307
42,299461,74267277,0.5676573974577104
43,299461,389145,0.5626031681651118
44,299461,54665,0.500120998754173
45,299461,203734,0.4914847877567686
46,299461,899654,0.46270591410232675
47,299461,9830444,0.45343774278491955
48,299461,469404,0.4479962299998251
49,299461,171745,0.4450834452693678
50,299461,23362701,0.4441386094693161
51,299461,899588,0.43926776353794067
52,299461,52241344,0.431874269402503
53,299461,23518127,0.42792186173019486
54,299461,19359126,0.42521660673712985
55,299461,12420809,0.41346135280567825
56,299461,515551,0.4054363601868274
57,299461,56859344,0.4028196326027174
58,299461,56889347,0.4024811367578699
59,299461,21440975,0.39175296549081495
60,57440329,54680052,0.3065112218918106
61,57440329,54385590,0.28712050039253595
62,57440329,24408779,0.285782677426111
63,57440329,59084364,0.25077192131617604
64,57440329,54383925,0.23624844193610314
65,57440329,51884751,0.22534018999445943
66,57440329,47994357,0.2192848415596796
67,57440329,11239836,0.21698011312630838
68,57440329,71505389,0.21106202610247043
69,57440329,68467585,0.20597132609800442
70,57440329,54384395,0.2007487877381245
71,57440329,48091364,0.194003213176253
72,57440329,58566938,0.19280105939289796
73,57440329,68125744,0.19024327954082773
74,57440329,67262439,0.1878548404548365
75,57440329,71197069,0.18337265653626852
76,57440329,58298176,0.18009851122353776
77,57440329,75754994,0.17994404874646053
78,57440329,74496917,0.1786906443973299
79,57440329,65395332,0.1785474163310257
80,38458616,73314682,0.42237726870237413
81,38458616,74285829,0.42124676603061045
82,38458616,35373097,0.4028722356247838
83,38458616,26348659,0.38814945061946854
84,38458616,58291928,0.3870213799566182
85,38458616,48273751,0.37722761867485305
86,38458616,59130781,0.37634432549354524
87,38458616,72928043,0.3752756608519621
88,38458616,22413470,0.37515336984059533
89,38458616,52889826,0.37314379357353716
90,38458616,52333193,0.3706762759752341
91,38458616,70817873,0.36704009675340976
92,38458616,41574489,0.3549375526502889
93,38458616,58298489,0.3459374179065335
94,38458616,58010310,0.342385519148844
95,38458616,70772235,0.3394213110034122
96,38458616,50817650,0.3381988641936432
97,38458616,53501421,0.3379651037009037
98,38458616,25770121,0.33496653197928883
99,38458616,79965318,0.33206678914758325
100,12567795,46623654,0.7302264354656269
101,12567795,23459272,0.714614161898441
102,12567795,22413470,0.37800744476962883
103,12567795,75574549,0.373158989095435
104,12567795,48273751,0.3621344303203219
105,12567795,35373097,0.3593183132995085
106,12567795,74285829,0.3542158589432903
107,12567795,73314682,0.35376925191583236
108,12567795,26348659,0.3488204556938654
109,12567795,52889826,0.34390672999820404
110,12567795,72928043,0.34323029168313773
111,12567795,79965318,0.3387603451085991
112,12567795,41574489,0.33673418317382575
113,12567795,70817873,0.3349263277054929
114,12567795,70772235,0.33291969923269726
115,12567795,52333193,0.3285434680772893
